icao,lat,lon,name
FAKE,-32.697337,28.356291,Keimouth Airport
FAKF,-31.957335,29.174543,Koffee Bay Airport
FAKG,-26.093300,29.455601,Komati Power Station Airport
FAKH,-29.329436,21.191798,Kenhardt Aerodrome
FAKI,-32.433799,28.683467,Kobb Inn Airport
FAKK,-28.808598,20.644936,Kakamas Airport
FAKL,-26.251101,29.194700,Kriel Airport
FAKM,-28.805401,24.764872,Kimberley Airport
FAKN,-25.383327,31.105325,Kruger Mpumalanga International Airport
FAKO,-32.592800,27.875799,Komga Airport
FAKP,-25.440300,31.930000,Komatipoort Airport
FAKR,-26.080826,27.725915,Krugersdorp Airport
FAKS,-27.660601,27.315800,Kroonstad Airport
FAKT,-25.860001,28.450001,Kitty Hawk Airport
FAKU,-27.456596,23.411946,Johan Pienaar Airport
FAKV,-29.439400,24.988600,Koffyfontein Min Airport
FAKW,-33.966667,24.299999,Kareedouw Airport
FAKX,-33.670329,26.630593,Kenton-on-Sea Airport
FAKZ,-29.688400,17.094000,Kleinsee Airport
FALA,-25.938964,27.926642,Lanseria International Airport
FALB,-29.181101,27.453600,Ladybrand Airfield
FALC,-28.360100,23.439100,Lime Acres Finsch Mine Airport
FALD,-24.747800,31.474300,Londolozi Airport
FALE,-29.614444,31.119722,King Shaka International Airport
FALF,-30.906401,19.425301,Loeriesfontein Airport
FALH,-28.036800,23.098700,Lohathla Military Airport
FALI,-26.175699,26.184601,Lichtenburg Airport
FALL,-25.103300,30.414200,Lydenburg Airport
FALM,-23.159901,29.696501,Makhado Air Force Base Airport
FALO,-23.061899,29.864700,Louis Trichardt Airport
FALQ,-28.986111,29.479723,El Mirador Airport
FALR,-33.337002,24.321400,Steytlerville Airport
FALS,-33.246227,18.479998,Somersveld Airport
FALW,-32.968899,18.160299,Langebaanweg Airport
FALY,-28.581699,29.749701,Ladysmith Airport
FAMA,-30.322201,28.794201,Matatiele Airport
FAMB,-25.684799,29.440201,Middelburg Airport
FAMC,-31.547199,25.029400,Middelburg 2 Airport
FAMD,-24.816866,31.544085,Malamala Airport
FAMF,-29.010929,23.849489,Malabar Airport
FAMG,-30.857401,30.343000,Margate Airport
FAMH,-22.355672,29.986200,Musina(Messina) Airport
FAMI,-24.989100,29.283100,Marble Hall Airport
FAMJ,-27.079300,29.778500,Majuba Power Station Airport
FAML,-25.816700,25.716700,Manyani Game Lodge Airport
FAMM,-25.798401,25.548000,Mmabatho International Airport
FAMN,-25.473581,31.565947,Malelane Airport
FAMO,-34.158746,22.055676,Mossel Bay Airport
